output_id	question_id	listNum	otherLang	itemName	cond	expt	prompt	bestguess	minimum	maximum
1	1	0	no	phone	FILLER	FILLER	Jill is a woman from the US. How many hours do you think Jill spent on her phone last week?	30	15	40
1	2	0	no	wine	FILLER	FILLER	Gilly is a woman from the US. How many glasses of wine do you think Gilly drank last month?	20	0	30
1	3	0	no	keys	FILLER	FILLER	Brendan is a man from the US. How many keys do you think are on Brendan's key chain?	7	1	10
1	4	0	no	cook	FILLER	FILLER	Tony is a man from the US. How many meals do you think Tony cooked at home last month?	40	10	90
1	21	0	no	correct1	b	fillers	No one knows exactly when the Roman alphabet was first invented. How many letters are in the modern alphabet?	26	26	26
1	6	0	no	cousin	FILLER	FILLER	Jess is a woman from the US. How many cousins do you think Jess has?	16	5	20
1	7	0	no	candy	FILLER	FILLER	Scott is a 12-year-old from the US. How many candy bars do you think Scott ate last month?	10	0	30
1	8	0	no	colleagues	FILLER	FILLER	Linda is a woman from the US. How many colleagues do you think Linda has?	12	5	18
1	9	0	no	tshirts	FILLER	FILLER	Liam is a man from the US. How many T-shirts do you think Liam has?	12	3	25
1	10	0	no	speculation1	b	fillers	Corey and Charlotte are professional tuba players. They were guessing that the tuba is how hold?	5	1	10
1	11	0	no	class	FILLER	FILLER	Erin is a first grade student in primary school. How many children do you think there are in Erin's class?	24	12	30
1	12	0	no	restaurants	FILLER	FILLER	Sarah is a woman from the US. How many restaurants do you think Sarah went to last year?	60	15	85
1	13	0	no	coffee	FILLER	FILLER	Andy is a man from the US. How many cups of coffee do you think Andy drinks per day?	2	1	8
1	14	0	no	cards	FILLER	FILLER	Wanda is a woman from the US. How many cards do you think Wanda has in her wallet?	7	3	12
1	15	0	no	date	FILLER	FILLER	Trey and Tina are a couple from the US. How many times do you think Trey and Tina hired a babysitter last year?	18	3	50
1	16	0	no	car	FILLER	FILLER	Jeff is a man from the US. How many hours do you think Jeff spent in a car last week?	10	4	30
1	17	0	no	shoes	FILLER	FILLER	Melanie is a woman from the US. How many pairs of shoes do you think Melanie owns?	15	1	25
1	18	0	no	books	FILLER	FILLER	Nathalie is a woman from the US. How many books do you think Nathalie read last year?	12	1	35
1	19	0	no	orderonline	FILLER	FILLER	Robert is a man from the US. How many times do you think Robert ordered something online last year?	35	5	80
1	20	0	no	plane	FILLER	FILLER	Gary is a man from the US. How many flights do you think Gary was on last year?	6	2	12
1	38	0	no	correct2	a	fillers	Johnny and his brother are looking forward to the holidays. How many days are in Johnny's favorite Christmas carol is 'The ... days of Christmas'?	25	25	25
1	22	0	no	football	FILLER	FILLER	Kyle is a teenager from the US. How many times do you think Kyle had football practice last month?	8	4	12
1	23	0	no	laundry	FILLER	FILLER	Peter is a man from the US. How many loads of laundry do you think Peter washed last month?	10	5	15
1	24	0	no	calls	FILLER	FILLER	Lisa is a woman from the US. How many phone calls do you think Lisa made last week?	18	3	45
1	25	0	no	hair	FILLER	FILLER	Betty is a woman from the US. How many times do you think Betty washed her hair last month?	20	3	30
1	26	0	no	concert	FILLER	FILLER	Zach is a man from the US. How many concerts do you think Zach went to last year?	12	2	22
1	27	0	no	speculation4	a	fillers	Amtrak operates trains in the US. How many minutes late was yesterday's 8:30 Amtrak train from NYC to Boston?	15	5	60
1	28	0	no	burger	FILLER	FILLER	Joseph is a man from the US. How many burgers do you think Joseph ate last month?	4	1	15
1	29	0	no	plants	FILLER	FILLER	Pauline is a woman from the US. How many house plants do you think Pauline has?	5	1	12
1	30	0	no	birthday	FILLER	FILLER	Samantha is a 14-year-old girl from the US. How many birthday parties do you think Samantha attended last year?	4	1	7
1	31	0	no	takeout	FILLER	FILLER	Ralph is a man from the US. How many times do you think Ralph ordered take-out last month?	8	1	30
1	32	0	no	vacuum	FILLER	FILLER	Patricia is a woman from the US. How many times do you think Patricia vacuumed last month?	14	3	30
1	33	0	no	friends	FILLER	FILLER	Lelia is a woman from the US. How many friends do you think Lelia has?	7	1	15
1	34	0	no	speculation2	a	fillers	Mr Grongitts went to a boring barbecue party again last weekend. Mr Grongitts was very bored. How many days til he attends another one?	7	3	14
1	35	0	no	movie	FILLER	FILLER	Nick is a man from the US. How many movies do you think Nick saw last year?	25	10	40
1	36	0	no	chairs	FILLER	FILLER	Rob and Wendy are a couple from the US. How many chairs do you think Rob and Wendy own?	12	3	20
1	37	0	no	dog	FILLER	FILLER	Hugh is a man from the US. How often do you think he walked his dog last week?	45	30	60
1	5	0	no	correct3	b	fillers	My best friend always reminds me to take a break since there aren't infinite hours in the day. How many are there?	24	24	24
1	39	0	no	beer	FILLER	FILLER	John is a man from the the US. How many beers do you think John drank last month?	12	1	25
1	40	0	no	correct4	a	fillers	Everyone eventually has to face challenges and stand on their own feet.  How many feet does a person have?	2	2	2
1	41	0	no	workout	FILLER	FILLER	Jennifer is a woman from the US. How many times do you think Jennifer worked out last month?	25	1	40
1	42	0	no	dishwasher	FILLER	FILLER	Lily is a woman from the US. How many times do you think Lily ran her dishwasher last month?	15	5	30
1	43	0	no	speculation3	b	fillers	Gina discovered a new band on the internet called 'This will destroy you'. How many albums will she buy?	4	1	6
2	1	1	no	plane	FILLER	FILLER	Gary is a man from the US. How many flights do you think Gary was on last year?	0	0	5
2	2	1	no	laundry	FILLER	FILLER	Peter is a man from the US. How many loads of laundry do you think Peter washed last month?	5	3	10
2	3	1	no	birthday	FILLER	FILLER	Samantha is a 14-year-old girl from the US. How many birthday parties do you think Samantha attended last year?	10	0	40
2	4	1	no	friends	FILLER	FILLER	Lelia is a woman from the US. How many friends do you think Lelia has?	13	0	80
2	5	1	no	cook	FILLER	FILLER	Tony is a man from the US. How many meals do you think Tony cooked at home last month?	2	1	30
2	6	1	no	movie	FILLER	FILLER	Nick is a man from the US. How many movies do you think Nick saw last year?	7	3	15
2	7	1	no	orderonline	FILLER	FILLER	Robert is a man from the US. How many times do you think Robert ordered something online last year?	60	20	150
2	8	1	no	speculation4	b	fillers	Amtrak operates trains in the US. How many minutes late was yesterday's 8:30 Amtrak train from NYC to Boston?	20	15	60
2	9	1	no	takeout	FILLER	FILLER	Ralph is a man from the US. How many times do you think Ralph ordered take-out last month?	10	5	30
2	10	1	no	chairs	FILLER	FILLER	Rob and Wendy are a couple from the US. How many chairs do you think Rob and Wendy own?	6	1	10
2	11	1	no	books	FILLER	FILLER	Nathalie is a woman from the US. How many books do you think Nathalie read last year?	6	0	100
2	12	1	no	cousin	FILLER	FILLER	Jess is a woman from the US. How many cousins do you think Jess has?	19	0	100
2	16	1	no	correct1	a	fillers	No one knows exactly when the Roman alphabet was first invented. How many letters are in the modern alphabet?	26	26	26
2	14	1	no	dog	FILLER	FILLER	Hugh is a man from the US. How often do you think he walked his dog last week?	3	0	14
2	15	1	no	date	FILLER	FILLER	Trey and Tina are a couple from the US. How many times do you think Trey and Tina hired a babysitter last year?	4	0	16
2	13	1	no	correct2	b	fillers	Johnny and his brother are looking forward to the holidays. How many days are in Johnny's favorite Christmas carol is 'The ... days of Christmas'?	12	12	12
2	17	1	no	keys	FILLER	FILLER	Brendan is a man from the US. How many keys do you think are on Brendan's key chain?	3	1	10
2	18	1	no	wine	FILLER	FILLER	Gilly is a woman from the US. How many glasses of wine do you think Gilly drank last month?	10	0	50
2	19	1	no	burger	FILLER	FILLER	Joseph is a man from the US. How many burgers do you think Joseph ate last month?	6	0	30
2	20	1	no	concert	FILLER	FILLER	Zach is a man from the US. How many concerts do you think Zach went to last year?	0	0	20
2	21	1	no	cards	FILLER	FILLER	Wanda is a woman from the US. How many cards do you think Wanda has in her wallet?	9	0	10
2	22	1	no	correct3	a	fillers	My best friend always reminds me to take a break since there aren't infinite hours in the day. How many are there?	24	24	24
2	23	1	no	hair	FILLER	FILLER	Betty is a woman from the US. How many times do you think Betty washed her hair last month?	10	0	30
2	24	1	no	tshirts	FILLER	FILLER	Liam is a man from the US. How many T-shirts do you think Liam has?	20	5	60
2	25	1	no	workout	FILLER	FILLER	Jennifer is a woman from the US. How many times do you think Jennifer worked out last month?	12	0	60
2	26	1	no	plants	FILLER	FILLER	Pauline is a woman from the US. How many house plants do you think Pauline has?	1	0	40
2	27	1	no	colleagues	FILLER	FILLER	Linda is a woman from the US. How many colleagues do you think Linda has?	12	0	20
2	28	1	no	shoes	FILLER	FILLER	Melanie is a woman from the US. How many pairs of shoes do you think Melanie owns?	30	1	200
2	29	1	no	candy	FILLER	FILLER	Scott is a 12-year-old from the US. How many candy bars do you think Scott ate last month?	14	0	40
2	30	1	no	speculation1	a	fillers	Corey and Charlotte are professional tuba players. They were guessing that the tuba is how hold?	6	1	12
2	31	1	no	restaurants	FILLER	FILLER	Sarah is a woman from the US. How many restaurants do you think Sarah went to last year?	20	10	40
2	32	1	no	beer	FILLER	FILLER	John is a man from the the US. How many beers do you think John drank last month?	6	12	30
2	33	1	no	correct4	b	fillers	Everyone eventually has to face challenges and stand on their own feet.  How many feet does a person have?	2	0	2
2	34	1	no	coffee	FILLER	FILLER	Andy is a man from the US. How many cups of coffee do you think Andy drinks per day?	3	0	6
2	35	1	no	vacuum	FILLER	FILLER	Patricia is a woman from the US. How many times do you think Patricia vacuumed last month?	4	0	12
2	36	1	no	phone	FILLER	FILLER	Jill is a woman from the US. How many hours do you think Jill spent on her phone last week?	30	2	100
2	37	1	no	speculation2	b	fillers	Mr Grongitts went to a boring barbecue party again last weekend. Mr Grongitts was very bored. How many days til he attends another one?	60	0	365
2	38	1	no	dishwasher	FILLER	FILLER	Lily is a woman from the US. How many times do you think Lily ran her dishwasher last month?	15	0	30
2	39	1	no	car	FILLER	FILLER	Jeff is a man from the US. How many hours do you think Jeff spent in a car last week?	6	1	20
2	40	1	no	class	FILLER	FILLER	Erin is a first grade student in primary school. How many children do you think there are in Erin's class?	15	5	40
2	41	1	no	calls	FILLER	FILLER	Lisa is a woman from the US. How many phone calls do you think Lisa made last week?	17	0	200
2	42	1	no	football	FILLER	FILLER	Kyle is a teenager from the US. How many times do you think Kyle had football practice last month?	0	0	15
2	43	1	no	speculation3	a	fillers	Gina discovered a new band on the internet called 'This will destroy you'. How many albums will she buy?	1	0	10
4	1	1	no	workout	FILLER	FILLER	Jennifer is a woman from the US. How many times do you think Jennifer worked out last month?	15	0	30
4	2	1	no	date	FILLER	FILLER	Trey and Tina are a couple from the US. How many times do you think Trey and Tina hired a babysitter last year?	10	0	20
4	3	1	no	correct1	a	fillers	No one knows exactly when the Roman alphabet was first invented. How many letters are in the modern alphabet?	21	20	22
4	4	1	no	class	FILLER	FILLER	Erin is a first grade student in primary school. How many children do you think there are in Erin's class?	15	10	20
4	5	1	no	chairs	FILLER	FILLER	Rob and Wendy are a couple from the US. How many chairs do you think Rob and Wendy own?	10	2	15
